qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,Bb (basso) Horn 3,Bb (basso) Horn 4,D Trumpet 1,D Trumpet 2,"D, A Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
29.75,20.2841,15,2.75,A6,A5,A5,A4,A4,A3,D2,D2,A4,A2,D4,D3,r,r,r,A4,A4,A3,A3,r
30.0,20.4545,16,1.0,A6,A5,A5,A4,A4,A3,D2,D2,A4,A2,D4,D3,r,r,r,A4,A4,A3,A3,r
30.25,20.625,16,1.25,A6,A5,A5,A4,A4,A3,D2,D2,A4,A2,D4,D3,r,r,r,A5,A4,A4,A3,r
30.5,20.7955,16,1.5,A6,A5,A5,A4,A4,A3,D2,D2,A4,A2,D4,D3,r,r,r,A5,A4,A4,A3,r
30.75,20.9659,16,1.75,A6,A5,A5,A4,A4,A3,D2,D2,A4,A2,D4,D3,r,r,r,A4,A4,A3,A3,r
31.0,21.1364,16,2.0,A6,A5,A5,A4,A4,A3,D2,D2,A4,A2,D4,D3,r,r,r,A4,A4,A3,A3,r
31.1667,21.25,16,2.1667,A6,A5,A5,A4,A4,A3,D2,D2,A4,A2,D4,D3,r,r,r,A4,A4,A3,A3,r
31.25,21.3068,16,2.25,A6,A5,A5,A4,A4,A3,D2,D2,A4,A2,D4,D3,r,r,r,A5,A4,A4,A3,r
31.3333,21.3636,16,2.3333,A6,A5,A5,A4,A4,A3,D2,D2,A4,A2,D4,D3,r,r,r,A5,A4,A4,A3,r
31.5,21.4773,16,2.5,A6,A5,A5,A4,A4,A3,D2,D2,A4,A2,D4,D3,r,r,r,A4,A4,A3,A3,r
31.875,21.733,16,2.875,D6,D6,D6,D5,D6,D5,D4,D4,D5,D4,D4,D3,D5,D4,D3,D6,D6,D5,D4,D3
32.0,21.8182,17,1.0,A6,A5,A5,A4,A5,A4,A3,A3,A4,A3,D4,D3,A4,A3,A2,A5,A5,A4,A3,A2
33.0,22.5,17,2.0,A6,A5,A5,A4,A5,A4,A3,A3,A4,A3,D4,D3,A4,A3,A2,A5,A5,A4,A3,A2
33.875,23.0966,17,2.875,F6,F5,F5,F4,F5,F4,F3,F3,F4,F3,D4,D3,D5,D4,D3,F5,F5,F4,F3,F2
34.0,23.1818,18,1.0,D6,D5,D5,D4,D5,D4,D3,D3,D4,D3,D4,D3,D5,D4,D3,D5,D5,D4,D3,D2
34.875,23.7784,18,1.875,A5,A5,A4,A4,A4,A3,A2,A2,A3,A2,D4,D3,A4,A3,A2,A4,A4,A3,A2,A1
35.0,23.8636,18,2.0,F5,F5,F4,F4,F4,F3,F2,F2,F4,F3,D4,D3,D5,D4,D3,F4,F4,F3,F2,F1
35.75,24.375,18,2.75,A5,A5,A4,A4,A4,A4,A2,A2,A4,A3,D4,D3,D5,D4,D3,A4,A4,A3,A2,A1
35.875,24.4602,18,2.875,F5,F5,F4,F4,F4,F4,F2,F2,F4,F3,D4,D3,D5,D4,D3,F4,F4,F3,F2,F1
36.0,24.5455,19,1.0,D5,D5,D4,D4,D4,D4,D2,D2,D4,D3,D4,D3,D5,D4,D3,D4,D4,D3,D2,D2
37.0,25.2273,19,2.0,D5,D5,D4,D4,D4,D4,D2,D2,D4,D3,D4,D3,D5,D4,r,D4,D4,D3,D2,D2
37.25,25.3977,19,2.25,F6,F6,F5,F4,F5,F4,F3,F3,F4,F4,r,r,D5,D4,D3,F5,F5,F4,F3,F2
37.5,25.5682,19,2.5,E6,E6,E5,E4,E5,E4,E3,E3,E4,E4,r,r,D5,D4,D3,E5,E5,E4,E3,E2
37.75,25.7386,19,2.75,D6,D6,D5,D4,D5,D4,D3,D3,D4,D4,r,r,D5,D4,D3,D5,D5,D4,D3,D2
38.0,25.9091,20,1.0,A6,A6,A5,A4,A5,A4,A3,A2,A4,A4,r,r,A4,A3,A2,A5,A5,A4,A3,A2
38.5,26.25,20,1.5,G6,G6,G5,G4,G5,G4,G3,G2,G4,G4,r,r,A4,A3,A2,G5,G5,G4,G3,G2
39.0,26.5909,20,2.0,E6,E6,E5,E4,E5,E4,E3,E2,E4,E4,r,r,A4,A3,A2,E5,E5,E4,E3,E2
39.5,26.9318,20,2.5,A6,A6,A5,A4,A5,A4,A3,A2,A4,A4,r,r,A4,A3,A2,A5,A5,A4,A3,A2
40.0,27.2727,21,1.0,D6,D6,D5,D4,D5,D4,D4,D3,D4,D3,D4,D3,D5,D4,D3,D5,D5,D4,D4,D3
41.0,27.9545,21,2.0,E6,C#6,E5,C#5,E4,C#4,A3,A2,E4,r,r,r,A4,A3,A2,E5,E5,A4,A3,A2
42.0,28.6364,22,1.0,F6,D6,F5,D5,F4,D4,D3,D2,D4,r,D4,D3,D5,D4,D3,F5,F5,D4,D3,D2
44.0,30.0,23,1.0,G6,B-5,G5,B-4,G4,B-3,G3,G3,D4,r,D4,D3,D5,D4,D3,G5,G5,G4,G3,G2
45.0,30.6818,23,2.0,A6,F#6,A5,F#5,A4,F#4,A3,F#3,D4,r,D4,D3,D5,D4,D3,A5,A5,D4,D3,D2
46.0,31.3636,24,1.0,B-5,G5,B-5,G5,B-4,G4,B-3,G3,G4,G4,r,r,G5,G5,r,B-5,G5,G3,G2,G1
46.5,31.7045,24,1.5,B-5,G5,B-5,G5,B-4,G4,B-3,G3,G4,G4,r,r,r,r,r,B-5,G5,G4,E-3,E-2
47.0,32.0455,24,2.0,G6,B-5,B-5,G5,B-4,G4,B-3,G3,G4,G4,B-3,B-3,r,r,r,B-5,G5,G4,E-3,E-2
48.0,32.7273,25,1.0,G6,B-5,B-5,G5,B-4,G4,B-3,G3,G4,G4,B-3,B-3,r,r,r,B-5,G5,G4,E-3,E-2
49.5,33.75,25,2.5,G6,B-5,B-5,G5,B-4,G4,A3,A3,G4,G4,B-3,B-3,r,r,r,A5,G5,G4,E-3,E-2
50.0,34.0909,26,1.0,G6,B-5,B-5,G5,B-4,G4,G3,G3,G4,G4,B-3,B-3,r,r,r,G5,G5,G4,E-3,E-2
50.5,34.4318,26,1.5,F6,B-5,B-5,F5,B-4,G4,F4,F3,G4,G4,B-3,B-3,r,r,r,F5,G3,B-4,E-3,E-2
51.0,34.7727,26,2.0,E-6,B-5,B-5,E-5,B-4,G4,E-4,E-3,G4,G4,B-3,B-3,r,r,r,E-5,G3,B-4,E-3,E-2
51.5,35.1136,26,2.5,D6,B-5,B-5,D5,B-4,G4,D4,D4,G4,G4,B-3,B-3,r,r,r,D5,B-4,G3,E-3,E-2
52.0,35.4545,27,1.0,C#6,B-5,B-5,C#5,B-4,G4,C#4,C#4,G4,G4,B-3,B-3,r,r,r,C#5,B-4,G3,E3,E2
52.5,35.7955,27,1.5,r,r,r,r,r,r,r,r,r,r,r,r,A4,A3,A2,r,r,r,r,r
52.875,36.0511,27,1.875,r,r,r,r,r,r,r,r,r,r,r,r,A4,A3,A2,r,r,r,r,r
53.0,36.1364,27,2.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,A3,A2,r,r,r,r,r
53.5,36.4773,27,2.5,r,r,r,r,r,r,r,r,r,r,r,r,A4,A3,A2,r,r,r,r,r
54.0,36.8182,28,1.0,G6,E6,G5,E5,G4,E4,G3,E3,A3,A2,r,r,A4,A3,A2,C#4,C#5,G3,A2,A1
55.0,37.5,28,2.0,E6,C#6,E5,C#5,E4,C#4,E3,C#3,A3,A2,r,r,r,r,r,r,r,r,r,r
55.875,38.0966,28,2.875,F6,D6,F5,D5,F4,D4,F3,D3,A3,A2,r,r,r,r,r,r,r,r,r,r
56.0,38.1818,29,1.0,F6,D6,F5,D5,F4,D4,F3,D3,A3,A2,r,r,A4,A3,A2,F5,F5,D5,A2,A1
56.5,38.5227,29,1.5,r,r,r,r,r,r,r,r,r,r,r,r,A4,A3,A2,r,r,r,r,r
56.875,38.7784,29,1.875,r,r,r,r,r,r,r,r,r,r,r,r,A4,A3,A2,r,r,r,r,r
57.0,38.8636,29,2.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,A3,A2,r,r,r,r,r
57.5,39.2045,29,2.5,r,r,r,r,r,r,r,r,r,r,r,r,A4,A3,A2,r,r,r,r,r
58.0,39.5455,30,1.0,A6,F6,A5,F5,A4,F4,A3,F3,A3,A2,r,r,A4,A3,A2,F4,A4,D4,A2,A1
59.0,40.2273,30,2.0,F6,D6,F5,D5,F4,D4,F3,D3,A3,A2,r,r,r,r,r,r,r,r,r,r
59.875,40.8239,30,2.875,G6,E6,G5,E5,G4,E4,G3,E3,A3,A2,r,r,r,r,r,r,r,r,r,r
60.0,40.9091,31,1.0,G6,E6,G5,E5,G4,E4,G3,E3,G4,A2,r,r,A4,A3,A2,G5,G5,E4,A2,A1
61.0,41.5909,31,2.0,E6,C#6,C#6,E5,B-5,B-4,G3,G2,E4,E4,B-3,B-2,A4,A3,A2,B-5,E5,B-3,G3,G2
62.0,42.2727,32,1.0,E6,C#6,C#6,E5,B-5,B-4,G3,G2,E4,E4,B-3,B-2,r,r,r,B-5,E5,B-3,G3,G2
63.0,42.9545,32,2.0,F6,D6,D6,F5,F5,D5,G#3,G#2,D4,D3,F4,F3,D5,D4,D3,D6,F5,B3,G#3,G#2
64.0,43.6364,33,1.0,F6,D6,D6,F5,F5,D5,G#3,G#2,D4,D3,F4,F3,r,r,r,D6,F5,B3,G#3,G#2
65.0,44.3182,33,2.0,F6,D6,D6,F5,F5,D5,A3,A2,F4,D4,F4,F3,D5,D4,A2,F5,F5,A4,A3,A2
66.0,45.0,34,1.0,A6,A5,D6,F5,A5,A4,A3,A2,A4,A3,r,r,A4,A3,r,A5,F5,A4,A3,A2
67.0,45.6818,34,2.0,A6,A5,D6,F5,A5,A4,A2,A2,A4,A3,r,r,A4,A3,A2,A5,F5,A4,A3,A1
67.1667,45.7955,34,2.1667,A6,A5,D6,F5,A5,A4,A2,A2,A4,A3,r,r,A4,A3,A2,A5,A4,A4,A3,A1
67.25,45.8523,34,2.25,A6,A5,D6,F5,A5,A4,A2,A2,A4,A3,r,r,A4,A3,A2,B-5,A4,B-4,A3,A1
67.3333,45.9091,34,2.3333,A6,A5,D6,F5,A5,A4,A2,A2,A4,A3,r,r,A4,A3,A2,B-5,A4,B-4,A3,A1
67.375,45.9375,34,2.375,A6,A5,D6,F5,A5,A4,A2,A2,A4,A3,r,r,A4,A3,A2,A5,r,A4,r,A1
67.5,46.0227,34,2.5,A6,A5,D6,F5,A5,A4,r,r,A4,A3,r,r,A4,A3,r,G5,A4,G4,A3,r
67.625,46.108,34,2.625,A6,A5,D6,F5,A5,A4,r,r,A4,A3,r,r,A4,A3,r,F5,A4,F4,A3,r
67.6667,46.1364,34,2.6667,A6,A5,D6,F5,A5,A4,r,r,A4,A3,r,r,A4,A3,r,F5,A4,F4,A3,r
67.75,46.1932,34,2.75,A6,A5,D6,F5,A5,A4,r,r,A4,A3,r,r,A4,A3,r,E5,A4,E4,A3,r
67.8333,46.25,34,2.8333,A6,A5,D6,F5,A5,A4,r,r,A4,A3,r,r,A4,A3,r,E5,A4,E4,A3,r
67.875,46.2784,34,2.875,A6,A5,D6,F5,A5,A4,r,r,A4,A3,r,r,A4,A3,r,D5,r,D4,r,r
68.0,46.3636,35,1.0,A6,A5,D6,F5,A4,D4,D3,D3,A3,D3,r,r,r,r,D3,C#5,A4,C#4,A3,D2
68.125,46.4489,35,1.125,A6,A5,D6,F5,A4,D4,D3,D3,A3,D3,r,r,r,r,D3,D5,A4,D4,A3,D2
68.25,46.5341,35,1.25,A6,A5,D6,F5,A4,D4,D3,D3,A3,D3,r,r,r,r,D3,C5,A4,C4,A3,D2
68.375,46.6193,35,1.375,A6,A5,D6,F5,A4,D4,D3,D3,A3,D3,r,r,r,r,D3,B-4,A4,B-3,A3,D2
68.5,46.7045,35,1.5,A6,A5,r,r,A4,D4,D3,D3,A3,D3,r,r,r,r,D3,A4,A4,A3,A3,D2
68.625,46.7898,35,1.625,A6,A5,r,r,A4,D4,D3,D3,A3,D3,r,r,r,r,D3,G4,A4,G3,A3,D2
68.75,46.875,35,1.75,A6,A5,r,r,A4,D4,D3,D3,A3,D3,r,r,r,r,D3,F4,A4,F3,A3,D2
68.875,46.9602,35,1.875,A6,A5,r,r,A4,D4,D3,D3,A3,D3,r,r,r,r,D3,E4,A4,E3,A3,D2
69.0,47.0455,35,2.0,D4,D4,r,r,A4,D4,D3,D3,A3,D3,r,r,D4,D4,r,D4,A4,D3,A3,r
70.0,47.7273,36,1.0,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,r,A3,r
71.0,48.4091,36,2.0,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,r,A3,r
71.875,49.0057,36,2.875,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,D5,A4,r,A3,r
72.0,49.0909,37,1.0,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,A4,A4,r,A3,r
73.0,49.7727,37,2.0,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,r,A3,r
73.875,50.3693,37,2.875,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,A4,A4,r,A3,r
74.0,50.4545,38,1.0,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,D4,A4,r,A3,r
75.0,51.1364,38,2.0,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,r,A3,r
75.875,51.733,38,2.875,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,A3,A3,A2
76.0,51.8182,39,1.0,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,D3,A3,D2
77.0,52.5,39,2.0,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,r,A3,r
78.0,53.1818,40,1.0,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,r,A3,r
79.0,53.8636,40,2.0,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,r,A3,r
79.875,54.4602,40,2.875,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,A5,A4,r,A3,r
80.0,54.5455,41,1.0,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,D5,A4,r,A3,r
81.0,55.2273,41,2.0,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,r,A3,r
81.875,55.8239,41,2.875,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,D5,A4,r,A3,r
82.0,55.9091,42,1.0,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,A4,A4,r,A3,r
83.0,56.5909,42,2.0,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,r,A3,r
83.875,57.1875,42,2.875,r,r,r,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,A3,A3,A2
84.0,57.2727,43,1.0,r,r,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,D3,A3,D2
85.0,57.9545,43,2.0,r,r,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,r,A3,r
86.0,58.6364,44,1.0,r,r,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,r,A3,r
87.0,59.3182,44,2.0,r,r,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,r,A3,r
88.0,60.0,45,1.0,r,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,r,A3,r
88.875,60.5966,45,1.875,r,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,A5,A4,r,A3,r
89.0,60.6818,45,2.0,r,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,D5,A4,r,A3,r
89.875,61.2784,45,2.875,r,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,D5,A4,r,A3,r
90.0,61.3636,46,1.0,r,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,A4,A4,r,A3,r
90.875,61.9602,46,1.875,r,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,A4,A4,r,A3,r
91.0,62.0455,46,2.0,r,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,D4,A4,r,A3,r
91.875,62.642,46,2.875,r,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,A3,A3,A2
92.0,62.7273,47,1.0,D6,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,D3,A3,D2
92.25,62.8977,47,1.25,D6,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,A5,A4,D3,A3,D2
92.5,63.0682,47,1.5,D6,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,A5,A4,D3,A3,D2
92.75,63.2386,47,1.75,D6,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,D5,A4,D3,A3,D2
93.0,63.4091,47,2.0,D6,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,r,A4,r,A3,r
93.25,63.5795,47,2.25,D6,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,D5,A4,r,A3,r
93.5,63.75,47,2.5,D6,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,D5,A4,r,A3,r
93.75,63.9205,47,2.75,D6,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,A4,A4,r,A3,r
94.0,64.0909,48,1.0,D6,A5,D5,r,A4,D4,D2,D2,A3,D3,D4,D3,r,r,r,r,A4,r,A3,r
94.25,64.2614,48,1.25,D6,A5,D5,r,A4,D4,D2,D2,A3,D3,D4,D3,r,r,r,A4,A4,r,A3,r
94.5,64.4318,48,1.5,D6,A5,D5,r,A4,D4,D2,D2,A3,D3,D4,D3,r,r,r,A4,A4,r,A3,r
94.75,64.6023,48,1.75,D6,A5,D5,r,A4,D4,D2,D2,A3,D3,D4,D3,r,r,r,D4,A4,r,A3,r
95.0,64.7727,48,2.0,D6,A5,D5,r,A4,D4,D2,D2,A3,D3,D4,D3,r,r,r,r,A4,r,A3,r
95.1667,64.8864,48,2.1667,D6,A5,D5,r,A4,D4,D2,D2,A3,D3,D4,D3,r,r,r,r,A4,r,A3,r
95.25,64.9432,48,2.25,D6,A5,D5,r,A4,D4,D2,D2,A3,D3,D4,D3,r,r,r,r,A4,A3,A3,A2
95.3333,65.0,48,2.3333,D6,A5,D5,r,A4,D4,D2,D2,A3,D3,D4,D3,r,r,r,r,A4,A3,A3,A2
95.5,65.1136,48,2.5,D6,D6,D5,r,D5,D4,D2,D2,D4,D3,D4,D3,r,r,r,r,D5,A3,D4,A2
95.6667,65.2273,48,2.6667,D6,D6,D5,r,D5,D4,D2,D2,D4,D3,D4,D3,r,r,r,r,D5,A3,D4,A2
95.75,65.2841,48,2.75,D6,D6,D5,r,D5,D4,D2,D2,D4,D3,D4,D3,r,r,r,r,D5,D3,D4,D2
